"","id","Block","ExpectedUtilityMatch","LowestValueMatch"
"1",13,1,0.788732394,0.640625
"2",13,2,0.746478873,0.640625
"3",13,3,0.704225352,0.703125
"4",13,4,0.690140845,0.625
"5",20,1,0.746478873,0.671875
"6",20,2,0.647887324,0.703125
"7",20,3,0.746478873,0.640625
"8",20,4,0.690140845,0.59375
"9",22,1,0.788732394,0.578125
"10",22,2,0.774647887,0.5625
"11",22,3,0.718309859,0.640625
"12",22,4,0.718309859,0.609375
"13",23,1,0.591549296,0.6875
"14",23,2,0.633802817,0.734375
"15",23,3,0.61971831,0.640625
"16",23,4,0.521126761,0.65625
"17",38,5,0.676056338,0.671875
"18",38,6,0.690140845,0.6875
"19",13,5,0.704225352,0.765625
"20",13,6,0.774647887,0.71875
"21",20,5,0.746478873,0.640625
"22",20,6,0.802816901,0.546875
"23",22,5,0.788732394,0.609375
"24",22,6,0.61971831,0.515625
"25",23,5,0.464788732,0.78125
"26",23,6,0.492957746,0.796875
"27",26,1,0.788732394,0.6875
"28",26,2,0.830985915,0.640625
"29",26,3,0.746478873,0.578125
"30",26,4,0.788732394,0.65625
"31",39,1,0.732394366,0.671875
"32",39,2,0.718309859,0.734375
"33",39,3,0.718309859,0.65625
"34",39,4,0.774647887,0.625
"35",26,5,0.788732394,0.65625
"36",26,6,0.816901408,0.625
"37",38,1,0.676056338,0.640625
"38",38,2,0.732394366,0.640625
"39",38,3,0.704225352,0.703125
"40",38,4,0.746478873,0.6875
"41",39,5,0.718309859,0.65625
"42",39,6,0.732394366,0.703125
"43",10,1,0.704225352,0.625
"44",10,2,0.718309859,0.703125
"45",10,3,0.788732394,0.5625
"46",10,4,0.746478873,0.671875
"47",15,1,0.845070423,0.59375
"48",15,2,0.845070423,0.546875
"49",15,3,0.845070423,0.609375
"50",15,4,0.816901408,0.703125
"51",21,5,0.76056338,0.6875
"52",21,6,0.788732394,0.6875
"53",35,5,0.647887324,0.84375
"54",35,6,0.535211268,0.84375
"55",40,1,0.676056338,0.65625
"56",40,2,0.746478873,0.671875
"57",40,3,0.633802817,0.640625
"58",40,4,0.704225352,0.671875
"59",10,5,0.732394366,0.578125
"60",10,6,0.704225352,0.625
"61",12,1,0.704225352,0.578125
"62",12,2,0.676056338,0.640625
"63",12,3,0.61971831,0.671875
"64",12,4,0.633802817,0.625
"65",15,5,0.830985915,0.59375
"66",15,6,0.830985915,0.65625
"67",40,5,0.732394366,0.640625
"68",40,6,0.704225352,0.625
"69",43,1,0.816901408,0.5
"70",43,2,0.704225352,0.546875
"71",43,3,0.690140845,0.546875
"72",43,4,0.732394366,0.515625
"73",30,1,0.661971831,0.671875
"74",30,2,0.774647887,0.59375
"75",30,3,0.732394366,0.671875
"76",30,4,0.704225352,0.46875
"77",33,5,0.830985915,0.671875
"78",33,6,0.802816901,0.609375
"79",37,1,0.816901408,0.671875
"80",37,2,0.85915493,0.578125
"81",37,3,0.774647887,0.578125
"82",37,4,0.76056338,0.5625
"83",44,1,0.816901408,0.671875
"84",44,2,0.788732394,0.65625
"85",44,3,0.802816901,0.671875
"86",44,4,0.802816901,0.671875
"87",45,5,0.676056338,0.515625
"88",45,6,0.661971831,0.5
"89",24,1,0.690140845,0.640625
"90",24,2,0.76056338,0.65625
"91",24,3,0.732394366,0.65625
"92",24,4,0.732394366,0.625
"93",30,5,0.746478873,0.578125
"94",30,6,0.661971831,0.578125
"95",31,1,0.746478873,0.71875
"96",31,2,0.718309859,0.71875
"97",31,3,0.690140845,0.640625
"98",31,4,0.690140845,0.640625
"99",37,5,0.732394366,0.546875
"100",37,6,0.718309859,0.484375
"101",44,5,0.816901408,0.65625
"102",44,6,0.816901408,0.625
"103",24,5,0.76056338,0.59375
"104",24,6,0.774647887,0.609375
"105",31,5,0.690140845,0.640625
"106",31,6,0.718309859,0.703125
"107",33,1,0.774647887,0.65625
"108",33,2,0.887323944,0.640625
"109",33,3,0.845070423,0.625
"110",33,4,0.830985915,0.65625
"111",45,1,0.690140845,0.453125
"112",45,2,0.774647887,0.40625
"113",45,3,0.647887324,0.53125
"114",45,4,0.633802817,0.546875
"115",11,5,0.591549296,0.703125
"116",11,6,0.549295775,0.75
"117",17,1,0.746478873,0.515625
"118",17,2,0.76056338,0.65625
"119",17,3,0.732394366,0.578125
"120",17,4,0.661971831,0.640625
"121",19,1,0.690140845,0.609375
"122",19,2,0.61971831,0.640625
"123",19,3,0.661971831,0.6875
"124",19,4,0.704225352,0.734375
"125",25,1,0.718309859,0.609375
"126",25,2,0.690140845,0.625
"127",25,3,0.746478873,0.6875
"128",25,4,0.647887324,0.765625
"129",34,5,0.577464789,0.625
"130",34,6,0.507042254,0.65625
"131",17,5,0.647887324,0.6875
"132",17,6,0.647887324,0.71875
"133",19,5,0.676056338,0.703125
"134",19,6,0.577464789,0.65625
"135",25,5,0.577464789,0.796875
"136",25,6,0.647887324,0.609375
"137",27,1,0.676056338,0.75
"138",27,2,0.647887324,0.734375
"139",27,3,0.661971831,0.71875
"140",27,4,0.647887324,0.734375
"141",36,1,0.521126761,0.65625
"142",36,2,0.577464789,0.734375
"143",36,3,0.535211268,0.71875
"144",36,4,0.605633803,0.796875
"145",11,1,0.577464789,0.734375
"146",11,2,0.704225352,0.640625
"147",11,3,0.450704225,0.828125
"148",11,4,0.507042254,0.828125
"149",27,5,0.732394366,0.71875
"150",27,6,0.676056338,0.78125
"151",34,1,0.647887324,0.578125
"152",34,2,0.549295775,0.71875
"153",34,3,0.549295775,0.71875
"154",34,4,0.521126761,0.78125
"155",36,5,0.535211268,0.8125
"156",36,6,0.605633803,0.734375
"157",12,5,0.676056338,0.609375
"158",12,6,0.61971831,0.703125
"159",21,1,0.746478873,0.640625
"160",21,2,0.647887324,0.6875
"161",21,3,0.718309859,0.625
"162",21,4,0.746478873,0.671875
"163",35,1,0.676056338,0.6875
"164",35,2,0.633802817,0.765625
"165",35,3,0.647887324,0.765625
"166",35,4,0.591549296,0.625
"167",43,5,0.732394366,0.5
"168",43,6,0.732394366,0.578125
